2020-08-06 22:34:21 startup archives install
2020-08-06 22:34:21 install base-passwd:i386 <none> 3.5.44
2020-08-06 22:34:21 status half-installed base-passwd:i386 3.5.44
2020-08-06 22:34:22 status unpacked base-passwd:i386 3.5.44
2020-08-06 22:34:22 status unpacked base-passwd:i386 3.5.44
2020-08-06 22:34:22 configure base-passwd:i386 3.5.44 3.5.44
2020-08-06 22:34:22 status unpacked base-passwd:i386 3.5.44
2020-08-06 22:34:22 status half-configured base-passwd:i386 3.5.44
2020-08-06 22:34:22 status installed base-passwd:i386 3.5.44
2020-08-06 22:34:22 startup archives install
2020-08-06 22:34:22 install base-files:i386 <none> 10.1ubuntu2
2020-08-06 22:34:22 status half-installed base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 configure base-files:i386 10.1ubuntu2 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status unpacked base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status half-configured base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 status installed base-files:i386 10.1ubuntu2
2020-08-06 22:34:22 startup archives install
2020-08-06 22:34:22 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:34:22 status half-configured dpkg 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg 1.19.0.5ubuntu2
2020-08-06 22:34:22 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:34:22 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 configure dpkg:i386 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status unpacked dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status half-configured dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 status installed dpkg:i386 1.19.0.5ubuntu2
2020-08-06 22:34:22 startup archives install
